index,body_text
5414,So how are you really. What are you up to. How's the masters. And so on.
5415,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
5416,I dont know oh. Hopefully this month.
5417,"Hi elaine, is today's meeting confirmed?"
5418,Ok k..sry i knw 2 siva..tats y i askd..
5419,"Sorry, I'll call later"
5420,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
5421,Otherwise had part time job na-tuition..
5422,Oh yeah! And my diet just flew out the window
5423,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
5424,You didnt complete your gist oh.
5425,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
5426,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
5427,If I was I wasn't paying attention
5428,Thanx a lot 4 ur help!
5429,You're gonna have to be way more specific than that
5430,Jesus armand really is trying to tell everybody he can find
5431,I'm wif him now buying tix lar...
5432,Mode men or have you left.
5433,Am slow in using biola's fne
5434,What are youdoing later? Sar xxx
5435,Hey i've booked the 2 lessons on sun liao...
5436,Thank you. do you generally date the brothas?
5437,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
5438,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
5439,You have won a guaranteed 32000 award or maybe even Â£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
5440,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
5441,"And that's fine, I got enough bud to last most of the night at least"
5442,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
5443,So that takes away some money worries
5444,"aight we can pick some up, you open before tonight?"
5445,"Latest News! Police station toilet stolen, cops have nothing to go on!"
5446,Sac needs to carry on:)
5447,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
5448,What???? Hello wats talks email address?
5449,Except theres a chick with huge boobs.
5450,Im just wondering what your doing right now?
5451,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
5452,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
5453,Arun can u transfr me d amt
5454,"Sorry, I'll call later"
5455,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
5456,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
5457,Ok i thk i got it. Then u wan me 2 come now or wat?
5458,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
5459,U GOIN OUT 2NITE?
5460,I will treasure every moment we spend together...
5461,Shall I bring us a bottle of wine to keep us amused? Only joking! Iâ€˜ll bring one anyway
5462,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueÂ¡C C RingtoneÂ¡
5463,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth Â£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
5464,"URGENT! Last weekend's draw shows that you have won Â£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
5465,Ok lor.
5466,I thought slide is enough.
5467,Yup
5468,Well obviously not because all the people in my cool college life went home ;_;
5469,Ok lor Ã¼ reaching then message me.
5470,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
5471,Dhoni have luck to win some big title.so we will win:)
5472,Yes princess! I want to please you every night. Your wish is my command...
5473,What Today-sunday..sunday is holiday..so no work..
5474,No probably  &lt;#&gt; %.
5475,Really do hope the work doesnt get stressful. Have a gr8 day.
5476,Have you seen who's back at Holby?!
5477,Shall call now dear having food
5478,URGENT We are trying to contact you Last weekends draw shows u have won a Â£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
5479,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
5480,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
5481,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
5482,Ofcourse I also upload some songs
5483,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
5484,K. I will sent it again
5485,Oh thanks a lot..i already bought 2 eggs ..
5486,K. I will sent it again
5487,U studying in sch or going home? Anyway i'll b going 2 sch later.
5488,Marvel Mobile Play the official Ultimate Spider-man game (Â£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
5489,I think if he rule tamilnadu..then its very tough for our people.
5490,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
5491,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
5492,Yes... I trust u to buy new stuff ASAP so I can try it out
5493,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
5494,Why did I wake up on my own &gt;:(
5495,Now get step 2 outta the way. Congrats again.
5496,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
5497,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
5498,Apo all other are mokka players only
5499,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
5500,Wait . I will msg after  &lt;#&gt;  min.
5501,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
5502,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
5503,I want to be inside you every night...
5504,"Machan you go to gym tomorrow,  i wil come late goodnight."
5505,Lol they were mad at first but then they woke up and gave in.
5506,I went to project centre
5507,"Itâ€˜s reassuring, in this crazy world."
5508,"Just making dinner, you ?"
5509,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
5510,Oh... Okie lor...We go on sat... 
5511,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
5512,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
5513,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
5514,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
5515,Can you pls send me that company name. In saibaba colany
5516,No. I dont want to hear anything
5517,You are a big chic. Common. Declare
5518,Thats cool. I want to please you...
5519,Going to join tomorrow.
5520,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÂ£3.99
5521,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
5522,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
5523,"Total disappointment, when I texted you was the craziest shit got :("
5524,Its just the effect of irritation. Just ignore it
5525,What about this one then.
5526,I think that tantrum's finished so yeah I'll be by at some point
5527,Compliments to you. Was away from the system. How your side.
5528,happened here while you were adventuring
5529,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
5530,Ok which your another number
5531,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
5532,Aiyah ok wat as long as got improve can already wat...
5533,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
5534,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
5535,Just sleeping..and surfing
5536,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O Â£250 3 WANT Â£800
5537,Yeah it's jus rite...
5538,Armand says get your ass over to epsilon
5539,U still havent got urself a jacket ah?
5540,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
5541,Hi its in durban are you still on this number
5542,Ic. There are a lotta childporn cars then.
5543,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
5544,"No, I was trying it all weekend ;V"
5545,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
5546,"Cool, what time you think you can get here?"
5547,Wen did you get so spiritual and deep. That's great
5548,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
5549,Hahaha..use your brain dear
5550,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
5551,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
5552,Yes i have. So that's why u texted. Pshew...missing you so much
5553,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
5554,"Sorry, I'll call later"
5555,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
5556,Anything lor. Juz both of us lor.
5557,Get me out of this dump heap. My mom decided to come to lowes. BORING.
5558,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
5559,Ard 6 like dat lor.
5560,Why don't you wait 'til at least wednesday to see if you get your .
5561,Huh y lei...
5562,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
5563,"This is the 2nd time we have tried 2 contact u. U have won the Â£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
5564,Will Ã¼ b going to esplanade fr home?
5565,"Pity, * was in mood for that. So...any other suggestions?"
